"name","desc","hp","ap","df","sa","sd","sp","type1","type2","weight","height","moves","sprite"
"psyduck","While lulling its enemies with its vacant look, thiswily POKéMON will use psychokinetic powers.","50","52","48","65","50","55","water","None","196","8","['mega-punch', 'pay-day', 'scratch', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'disable', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'dig', 'toxic', 'confusion', 'rage', 'mimic', 'double-team', 'bide', 'swift', 'skull-bash', 'fury-swipes', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png"
"golduck","Often seen swim­ ming elegantly by lake shores. Itis often mistaken for the Japanese monster, Kappa.","80","82","78","95","80","85","water","None","766","17","['mega-punch', 'pay-day', 'scratch', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'disable', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'dig', 'toxic', 'confusion', 'rage', 'mimic', 'double-team', 'bide', 'swift', 'skull-bash', 'fury-swipes', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png"
"mankey","Extremely quick to anger. It could be docile onemoment then thrashing away the next instant.","40","80","35","35","45","70","fighting","None","280","5","['karate-chop', 'mega-punch', 'pay-day', 'scratch', 'mega-kick', 'body-slam', 'take-down', 'thrash', 'double-edge', 'leer', 'submission', 'counter', 'seismic-toss', 'strength', 'thunderbolt', 'thunder', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'focus-energy', 'bide', 'metronome', 'swift', 'skull-bash', 'fury-swipes', 'rest', 'rock-slide', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png"
"primeape","Always furious and tenacious to boot. It will notabandon chasing its quarry until it is caught.","65","105","60","60","70","95","fighting","None","320","10","['karate-chop', 'mega-punch', 'pay-day', 'scratch', 'mega-kick', 'body-slam', 'take-down', 'thrash', 'double-edge', 'leer', 'hyper-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'thunderbolt', 'thunder', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'focus-energy', 'bide', 'metronome', 'swift', 'skull-bash', 'fury-swipes', 'rest', 'rock-slide', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png"
"growlithe","Very protective of its territory. It will bark andbite to repel intruders from its space.","55","70","45","70","50","60","fire","None","190","7","['body-slam', 'take-down', 'double-edge', 'leer', 'bite', 'roar', 'ember', 'flamethrower', 'dragon-rage', 'dig', 'toxic', 'agility', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'fire-blast', 'swift', 'skull-bash', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png"
"arcanine","A POKéMON that has been admired since the pastfor its beauty. It runs agilely as if on wings.","90","110","80","100","80","95","fire","None","1550","19","['body-slam', 'take-down', 'double-edge', 'leer', 'roar', 'ember', 'hyper-beam', 'dragon-rage', 'dig', 'toxic', 'rage', 'teleport', 'mimic', 'double-team', 'reflect', 'bide', 'fire-blast', 'swift', 'skull-bash', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png"
"poliwag","Its newly grown legs prevent it from running. Itappears to prefer swimming than trying to stand.","40","50","40","40","40","90","water","None","124","6","['double-slap', 'body-slam', 'take-down', 'double-edge', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'toxic', 'psychic', 'hypnosis', 'rage', 'mimic', 'double-team', 'bide', 'skull-bash', 'amnesia', 'bubble', 'psywave', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png"
"poliwhirl","Capable of living in or out of water. When outof water, it sweats to keep its body slimy.","65","65","65","50","50","90","water","None","200","10","['double-slap', 'mega-punch', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'earthquake', 'fissure', 'toxic', 'psychic', 'hypnosis', 'rage', 'mimic', 'double-team', 'bide', 'metronome', 'skull-bash', 'amnesia', 'bubble', 'psywave', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png"
"poliwrath","An adept swimmer at both the front crawl and breaststroke. Easily overtakes the best human swimmers.","90","95","95","70","90","70","water","fighting","540","13","['double-slap', 'mega-punch', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'water-gun', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'earthquake', 'fissure', 'toxic', 'psychic', 'hypnosis', 'rage', 'mimic', 'double-team', 'bide', 'metronome', 'skull-bash', 'psywave', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png"
"abra","Using its ability to read minds, it will identifyimpending danger and TELEPORT to safety.","25","20","15","105","55","90","psychic","None","195","9","['mega-punch', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'submission', 'counter', 'seismic-toss', 'thunder-wave', 'toxic', 'psychic', 'rage', 'teleport', 'mimic', 'double-team', 'reflect', 'bide', 'metronome', 'skull-bash', 'flash', 'psywave', 'rest', 'tri-attack', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png"
"kadabra","It emits special alpha waves from its body thatinduce headaches just by being close by.","40","35","30","120","70","105","psychic","None","565","13","['mega-punch', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'disable', 'psybeam', 'submission', 'counter', 'seismic-toss', 'thunder-wave', 'dig', 'toxic', 'confusion', 'psychic', 'rage', 'teleport', 'mimic', 'double-team', 'recover', 'reflect', 'bide', 'metronome', 'skull-bash', 'flash', 'psywave', 'rest', 'tri-attack', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png"
"alakazam","Its brain can out­ perform a super­ computer.Its intelligence quotient is said to be 5,000.","55","50","45","135","95","120","psychic","None","480","15","['mega-punch', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'disable', 'psybeam', 'hyper-beam', 'submission', 'counter', 'seismic-toss', 'thunder-wave', 'dig', 'toxic', 'confusion', 'psychic', 'rage', 'teleport', 'mimic', 'double-team', 'recover', 'reflect', 'bide', 'metronome', 'skull-bash', 'flash', 'psywave', 'rest', 'tri-attack', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png"
"machop","Loves to build its muscles. It trains in allstyles of martial arts to become even stronger.","70","80","50","35","35","35","fighting","None","195","8","['karate-chop', 'mega-punch', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'leer', 'submission', 'low-kick', 'counter', 'seismic-toss', 'strength', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'focus-energy', 'bide', 'metronome', 'fire-blast', 'skull-bash', 'rest', 'rock-slide', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png"
"machoke","Its muscular body is so powerful, it must wear a powersave belt to be able to regulate its motions.","80","100","70","50","60","45","fighting","None","705","15","['karate-chop', 'mega-punch', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'leer', 'submission', 'low-kick', 'counter', 'seismic-toss', 'strength', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'focus-energy', 'bide', 'metronome', 'fire-blast', 'skull-bash', 'rest', 'rock-slide', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png"
"machamp","Using its heavy muscles, it throws powerful punchesthat can send the victim clear over the horizon.","90","130","80","65","85","55","fighting","None","1300","16","['karate-chop', 'mega-punch', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'leer', 'hyper-beam', 'submission', 'low-kick', 'counter', 'seismic-toss', 'strength', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'focus-energy', 'bide', 'metronome', 'fire-blast', 'skull-bash', 'rest', 'rock-slide', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png"
"bellsprout","A carnivorous POKéMON that traps and eats bugs.It uses its root feet to soak up needed moisture.","50","75","35","70","30","40","grass","poison","40","7","['swords-dance', 'cut', 'slam', 'vine-whip', 'wrap', 'take-down', 'double-edge', 'acid', 'mega-drain', 'growth', 'razor-leaf', 'solar-beam', 'poison-powder', 'stun-spore', 'sleep-powder', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png"
"weepinbell","It spits out POISONPOWDER to immobilize theenemy and then finishes it with a spray of ACID.","65","90","50","85","45","55","grass","poison","64","10","['swords-dance', 'cut', 'slam', 'vine-whip', 'wrap', 'take-down', 'double-edge', 'acid', 'mega-drain', 'growth', 'razor-leaf', 'solar-beam', 'poison-powder', 'stun-spore', 'sleep-powder', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png"
"victreebel","Dicen que vive en grandes colonias en el interior de las junglas, aunque nadie ha podido verificarlo.","80","105","65","100","70","70","grass","poison","155","17","['swords-dance', 'cut', 'body-slam', 'wrap', 'take-down', 'double-edge', 'acid', 'hyper-beam', 'mega-drain', 'razor-leaf', 'solar-beam', 'poison-powder', 'stun-spore', 'sleep-powder', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png"
"tentacool","Drifts in shallow seas. Anglers who hook them byaccident are often punished by its stinging acid.","40","40","35","50","100","70","water","poison","455","9","['swords-dance', 'cut', 'wrap', 'take-down', 'double-edge', 'poison-sting', 'supersonic', 'acid', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'mega-drain', 'toxic', 'rage', 'mimic', 'screech', 'double-team', 'barrier', 'reflect', 'bide', 'skull-bash', 'constrict', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png"
"tentacruel","The tentacles are normally kept short. On hunts,they are extended to ensnare and immobilize prey.","80","70","65","80","120","100","water","poison","550","16","['swords-dance', 'cut', 'wrap', 'take-down', 'double-edge', 'poison-sting', 'supersonic', 'acid', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'mega-drain', 'toxic', 'rage', 'mimic', 'screech', 'double-team', 'barrier', 'reflect', 'bide', 'skull-bash', 'constrict', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png"
"geodude","Found in fields and mountains. Mistaking themfor boulders, people often step or trip on them.","40","80","100","30","30","20","rock","ground","200","4","['mega-punch', 'tackle', 'body-slam', 'take-down', 'double-edge', 'submission', 'counter', 'seismic-toss', 'strength', 'rock-throw', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'harden', 'defense-curl', 'bide', 'metronome', 'self-destruct', 'fire-blast', 'explosion', 'rest', 'rock-slide', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png"
"graveler","Rolls down slopes to move. It rolls over any obstaclewithout slowing or changing its direction.","55","95","115","45","45","35","rock","ground","1050","10","['mega-punch', 'tackle', 'body-slam', 'take-down', 'double-edge', 'submission', 'counter', 'seismic-toss', 'strength', 'rock-throw', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'harden', 'defense-curl', 'bide', 'metronome', 'self-destruct', 'fire-blast', 'explosion', 'rest', 'rock-slide', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png"
"golem","Its boulder-like body is extremely hard. It caneasily withstand dynamite blasts without damage.","80","120","130","55","65","45","rock","ground","3000","14","['mega-punch', 'mega-kick', 'tackle', 'body-slam', 'take-down', 'double-edge', 'hyper-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'rock-throw', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'harden', 'defense-curl', 'bide', 'metronome', 'self-destruct', 'fire-blast', 'explosion', 'rest', 'rock-slide', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png"
"ponyta","Its hooves are 10 times harder than diamonds. It cantrample anything completely flat in little time.","50","85","55","65","65","90","fire","None","300","10","['stomp', 'horn-drill', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'growl', 'ember', 'fire-spin', 'toxic', 'agility', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'fire-blast', 'swift', 'skull-bash', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png"
"rapidash","Very competitive, this POKéMON will chase anythingthat moves fast in the hopes of racing it.","65","100","70","80","80","105","fire","None","950","17","['stomp', 'horn-drill', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'growl', 'ember', 'hyper-beam', 'fire-spin', 'toxic', 'agility', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'fire-blast', 'swift', 'skull-bash', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png"
"slowpoke","Es faulenzt am Wasser. Wenn es in den Schweif gebissen wird, bemerkt es das erst am nächsten Tag.","90","65","65","40","40","15","water","psychic","360","12","['pay-day', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'growl', 'disable', 'water-gun', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'strength', 'thunder-wave', 'earthquake', 'fissure', 'dig', 'toxic', 'confusion', 'psychic', 'rage', 'teleport', 'mimic', 'double-team', 'reflect', 'bide', 'fire-blast', 'swift', 'skull-bash', 'amnesia', 'flash', 'psywave', 'rest', 'tri-attack', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png"
"slowbro","The SHELLDER that is latched onto SLOWPOKE's tailis said to feed on the host's left over scraps.","95","75","110","100","80","30","water","psychic","785","16","['mega-punch', 'pay-day', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'growl', 'disable', 'water-gun', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'thunder-wave', 'earthquake', 'fissure', 'dig', 'toxic', 'confusion', 'psychic', 'rage', 'teleport', 'mimic', 'double-team', 'withdraw', 'reflect', 'bide', 'fire-blast', 'swift', 'skull-bash', 'amnesia', 'flash', 'psywave', 'rest', 'tri-attack', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png"
"magnemite","Uses anti-gravity to stay suspended. Appears withoutwarning and uses THUNDER WAVE and similar moves.","25","35","70","95","55","45","electric","steel","60","3","['tackle', 'take-down', 'double-edge', 'supersonic', 'sonic-boom', 'thunder-shock', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'rage', 'teleport', 'mimic', 'screech', 'double-team', 'reflect', 'bide', 'swift', 'flash', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png"
"magneton","Formed by several MAGNEMITEs linked together. Theyfrequently appear when sunspots flare up.","50","60","95","120","70","70","electric","steel","600","10","['tackle', 'take-down', 'double-edge', 'supersonic', 'sonic-boom', 'hyper-beam', 'thunder-shock', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'rage', 'teleport', 'mimic', 'screech', 'double-team', 'reflect', 'bide', 'swift', 'flash', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png"
"farfetchd","The sprig of green onions it holds is itsweapon. It is used much like a metal sword.","52","90","55","58","62","60","normal","flying","150","8","['razor-wind', 'swords-dance', 'cut', 'whirlwind', 'fly', 'sand-attack', 'fury-attack', 'body-slam', 'take-down', 'double-edge', 'leer', 'peck', 'toxic', 'agility', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'swift', 'skull-bash', 'rest', 'slash', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png"
"doduo","A bird that makes up for its poor flying with itsfast foot speed. Leaves giant footprints.","35","85","45","35","35","75","normal","flying","392","14","['whirlwind', 'fly', 'fury-attack', 'body-slam', 'take-down', 'double-edge', 'growl', 'peck', 'drill-peck', 'toxic', 'agility', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'skull-bash', 'sky-attack', 'rest', 'tri-attack', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png"
"dodrio","Uses its three brains to execute complex plans.While two heads sleep, one head stays awake.","60","110","70","60","60","110","normal","flying","852","18","['whirlwind', 'fly', 'fury-attack', 'body-slam', 'take-down', 'double-edge', 'growl', 'hyper-beam', 'peck', 'drill-peck', 'toxic', 'agility', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'skull-bash', 'sky-attack', 'rest', 'tri-attack', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png"
"seel","The protruding horn on its head is very hard.It is used for bashing through thick ice.","65","45","55","45","70","45","water","None","900","11","['pay-day', 'headbutt', 'horn-drill', 'body-slam', 'take-down', 'double-edge', 'growl', 'water-gun', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'aurora-beam', 'strength', 'toxic', 'rage', 'mimic', 'double-team', 'bide', 'skull-bash', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png"
"dewgong","Stores thermal energy in its body. Swims at asteady 8 knots even in intensely cold waters.","90","70","80","70","95","70","water","ice","1200","17","['pay-day', 'headbutt', 'horn-drill', 'body-slam', 'take-down', 'double-edge', 'growl', 'water-gun', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'aurora-beam', 'hyper-beam', 'strength', 'toxic', 'rage', 'mimic', 'double-team', 'bide', 'skull-bash', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png"
"grimer","Appears in filthy areas. Thrives by sucking uppolluted sludge that is pumped out of factories.","80","80","50","40","50","25","poison","None","300","9","['pound', 'body-slam', 'disable', 'mega-drain', 'thunderbolt', 'thunder', 'toxic', 'rage', 'mimic', 'screech', 'double-team', 'harden', 'minimize', 'bide', 'self-destruct', 'sludge', 'fire-blast', 'poison-gas', 'acid-armor', 'explosion', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png"
"muk","Thickly covered with a filthy, vile sludge. Itis so toxic, even its footprints contain poison.","105","105","75","65","100","50","poison","None","300","12","['pound', 'body-slam', 'disable', 'hyper-beam', 'mega-drain', 'thunderbolt', 'thunder', 'toxic', 'rage', 'mimic', 'screech', 'double-team', 'harden', 'minimize', 'bide', 'self-destruct', 'sludge', 'fire-blast', 'poison-gas', 'acid-armor', 'explosion', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png"
"shellder","Its hard shell repels any kind of attack.It is vulnerable only when its shell is open.","30","65","100","45","25","40","water","None","40","3","['tackle', 'take-down', 'double-edge', 'leer', 'supersonic', 'water-gun', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'aurora-beam', 'toxic', 'rage', 'teleport', 'mimic', 'double-team', 'withdraw', 'reflect', 'bide', 'self-destruct', 'clamp', 'swift', 'explosion', 'rest', 'tri-attack', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png"
"cloyster","When attacked, it launches its horns in quickvolleys. Its innards have never been seen.","50","95","180","85","45","70","water","ice","1325","15","['take-down', 'double-edge', 'supersonic', 'water-gun', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'aurora-beam', 'hyper-beam', 'toxic', 'rage', 'teleport', 'mimic', 'double-team', 'withdraw', 'reflect', 'bide', 'self-destruct', 'clamp', 'swift', 'spike-cannon', 'explosion', 'rest', 'tri-attack', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png"
"gastly","Almost invisible, this gaseous POKéMON cloaksthe target and puts it to sleep without notice.","30","35","30","100","35","80","ghost","poison","1","13","['mega-drain', 'thunderbolt', 'thunder', 'toxic', 'psychic', 'hypnosis', 'rage', 'night-shade', 'mimic', 'double-team', 'confuse-ray', 'bide', 'self-destruct', 'lick', 'dream-eater', 'psywave', 'explosion', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png"
"haunter","Because of its ability to slip through blockwalls, it is said to be from an­ other dimension.","45","50","45","115","55","95","ghost","poison","1","16","['mega-drain', 'thunderbolt', 'thunder', 'toxic', 'psychic', 'hypnosis', 'rage', 'night-shade', 'mimic', 'double-team', 'confuse-ray', 'bide', 'self-destruct', 'lick', 'dream-eater', 'psywave', 'explosion', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png"
"gengar","Under a full moon, this POKéMON likes to mimicthe shadows of people and laugh at their fright.","60","65","60","130","75","110","ghost","poison","405","15","['mega-punch', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'hyper-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'mega-drain', 'thunderbolt', 'thunder', 'toxic', 'psychic', 'hypnosis', 'rage', 'night-shade', 'mimic', 'double-team', 'confuse-ray', 'bide', 'metronome', 'self-destruct', 'lick', 'skull-bash', 'dream-eater', 'psywave', 'explosion', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png"
"onix","As it grows, the stone portions of its body hardento become similar to a diamond, but colored black.","35","45","160","30","45","70","rock","ground","2100","88","['bind', 'slam', 'tackle', 'body-slam', 'take-down', 'double-edge', 'strength', 'rock-throw', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'screech', 'double-team', 'harden', 'bide', 'self-destruct', 'skull-bash', 'explosion', 'rest', 'rock-slide', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png"
"drowzee","Puts enemies to sleep then eats their dreams.Occasionally gets sick from eating bad dreams.","60","48","45","43","90","42","psychic","None","324","10","['pound', 'mega-punch', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'disable', 'submission', 'counter', 'seismic-toss', 'thunder-wave', 'toxic', 'confusion', 'psychic', 'hypnosis', 'meditate', 'rage', 'teleport', 'mimic', 'double-team', 'reflect', 'bide', 'metronome', 'skull-bash', 'dream-eater', 'poison-gas', 'flash', 'psywave', 'rest', 'tri-attack', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png"
"hypno","When it locks eyes with an enemy, it will use a mix ofPSI moves such as HYPNOSIS and CONFUSION.","85","73","70","73","115","67","psychic","None","756","16","['pound', 'mega-punch', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'disable', 'hyper-beam', 'submission', 'counter', 'seismic-toss', 'thunder-wave', 'toxic', 'confusion', 'psychic', 'hypnosis', 'meditate', 'rage', 'teleport', 'mimic', 'double-team', 'reflect', 'bide', 'metronome', 'skull-bash', 'dream-eater', 'poison-gas', 'flash', 'psywave', 'rest', 'tri-attack', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png"
"krabby","Its pincers are not only powerful weapons, they areused for balance when walking sideways.","30","105","90","25","25","50","water","None","65","4","['vice-grip', 'guillotine', 'swords-dance', 'cut', 'stomp', 'body-slam', 'take-down', 'double-edge', 'leer', 'water-gun', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'strength', 'toxic', 'rage', 'mimic', 'double-team', 'harden', 'bide', 'bubble', 'crabhammer', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png"
"kingler","The large pincer has 10000 hp of crushing power.However, its huge size makes it unwieldy to use.","55","130","115","50","50","75","water","None","600","13","['vice-grip', 'guillotine', 'swords-dance', 'cut', 'stomp', 'body-slam', 'take-down', 'double-edge', 'leer', 'water-gun', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'strength', 'toxic', 'rage', 'mimic', 'double-team', 'harden', 'bide', 'bubble', 'crabhammer', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png"
"voltorb","Usually found in power plants. Easily mistakenfor a POKé BALL, they have zapped many people.","40","30","50","55","55","100","electric","None","104","5","['tackle', 'take-down', 'sonic-boom', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'rage', 'teleport', 'mimic', 'screech', 'double-team', 'light-screen', 'reflect', 'bide', 'self-destruct', 'swift', 'flash', 'explosion', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png"
"electrode","It stores electric energy under very high pressure.It often explodes with little or no provocation.","60","50","70","80","80","150","electric","None","666","12","['tackle', 'take-down', 'sonic-boom', 'hyper-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'rage', 'teleport', 'mimic', 'screech', 'double-team', 'light-screen', 'reflect', 'bide', 'self-destruct', 'swift', 'skull-bash', 'flash', 'explosion', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png"
"exeggcute","Often mistaken for eggs. When disturbed,they quickly gather and attack in swarms.","60","40","80","60","45","40","grass","psychic","25","4","['take-down', 'double-edge', 'leech-seed', 'solar-beam', 'poison-powder', 'stun-spore', 'sleep-powder', 'toxic', 'psychic', 'hypnosis', 'rage', 'teleport', 'mimic', 'double-team', 'reflect', 'bide', 'self-destruct', 'egg-bomb', 'barrage', 'psywave', 'explosion', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png"
"exeggutor","Legend has it that on rare occasions, one of its headswill drop off and continue on as an EXEGGCUTE.","95","95","85","125","75","55","grass","psychic","1200","20","['stomp', 'take-down', 'double-edge', 'hyper-beam', 'strength', 'mega-drain', 'solar-beam', 'toxic', 'psychic', 'hypnosis', 'rage', 'teleport', 'mimic', 'double-team', 'reflect', 'bide', 'self-destruct', 'egg-bomb', 'barrage', 'psywave', 'explosion', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png"
"cubone","Because it never removes its skull helmet, no onehas ever seen this POKéMON's real face.","50","50","95","40","50","35","ground","None","65","4","['mega-punch', 'mega-kick', 'body-slam', 'take-down', 'thrash', 'double-edge', 'leer', 'growl', 'water-gun', 'ice-beam', 'blizzard', 'bubble-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'focus-energy', 'bide', 'bone-club', 'fire-blast', 'skull-bash', 'bonemerang', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png"
